GRIDCODE	CVENTMUN	Fc
703248	02004	0.007992352
704307	02004	0.011448805
707481	02004	0.000516456
711703	02004	0.03262471
711704	02004	0.014375074
711705	02004	0.01049976
711705	02004	0.011709513
711709	02004	0.020145075
711710	02004	0.018385775
711711	02004	0.016552027
712761	02004	0.027717541
712762	02004	0.009899216
712764	02004	0.00534048
712764	02004	0.00545947
712764	02004	0.00593103
712764	02004	0.000116406
712764	02004	0.014539045
712767	02004	0.002758545
712767	02004	0.007263499
712767	02004	0.009633741
712768	02004	0.003450858
712770	02004	0.001885812
712771	02004	0.01838364
712772	02004	0.001784421
712772	02004	0.01651821
712773	02004	0.022059945
712774	02004	0.009703356
713820	02004	0.03509977
713823	02004	0.000828095
713823	02004	0.030795031
713824	02004	0.007557614
713825	02004	0.007602666
713826	02004	0.013765274
713833	02004	0.019068329
713833	02004	0.003878202
713834	02004	0.001335077
714879	02004	0.001341873
714879	02004	0.036554329
714879	02004	0.003069489
714880	02004	0.000711487
714881	02004	0.010932293
714882	02004	0.004880186
714882	02004	0.04855052
714882	02004	0.008082679
714883	02004	0.021412514
714884	02004	0.014729366
714884	02004	0.004980973
714890	02004	0.004022913
714891	02004	0.047948552
714892	02004	0.035203476
714893	02004	0.002224646
714893	02004	0.000205171
714893	02004	0.003751647
715938	02004	0.003203084
715939	02004	0.005441853
715939	02004	0.013982581
715939	02004	0.0098058
715939	02004	0.034779288
715940	02004	0.027797605
715941	02004	0.008887685
715941	02004	0.001055077
715941	02004	0.009027354
715942	02004	0.000394439
715942	02004	0.017261681
715943	02004	0.016811861
715944	02004	0.017288495
715945	02004	0.017322807
715946	02004	0.006577803
715946	02004	0.021544463
715947	02004	0.008011768
715947	02004	0.030330639
715948	02004	0.043211264
715949	02004	0.032037518
